 field_num | photometry_type | project_id | comments | duplicate |                                     path                                      
 161       | AP              |          0 |          | f         | /nfs/phn11/edrive5.1/LC/161
 162       | AP              |          0 |          | f         | /nfs/phn11/edrive5.1/LC/162
 163       | AP              |          0 |          | f         | /nfs/phn10/edrive1/4KAP_LC/163
 164       | AP              |          0 |          | f         | /nfs/phn10/edrive1/4KAP_LC/164
 165       | AP              |          0 |          | f         | /nfs/phn9/ar0/4KAP_LC/165
 166       | AP              |          0 |          | f         | /nfs/phn11/edrive5.1/LC/166
 167       | AP              |          0 |          | f         | /nfs/phn11/edrive5.1/LC/167
 168       | AP              |          0 |          | f         | /nfs/phn11/edrive3/LC/168
 169       | AP              |          0 |          | f         | /nfs/phn11/edrive3/LC/169
 170       | AP              |          0 |          | f         | /nfs/phn11/edrive5.1/LC/170
 173       | AP              |          0 |          | f         | /nfs/phn11/edrive5.1/LC/173
 174       | AP              |          0 |          | f         | /nfs/phn11/edrive3/LC/174
 175       | AP              |          0 |          | f         | /nfs/phn11/edrive3/LC/175
 176       | AP              |          0 |          | f         | /nfs/phn11/edrive5.1/LC/176
 177       | AP              |          0 |          | f         | /nfs/phn11/edrive5.1/LC/177
 182       | AP              |          0 |          | f         | /nfs/phn11/edrive5.1/LC/182
 183       | AP              |          0 |          | f         | /nfs/phn11/edrive5.1/LC/183
 184       | AP              |          0 |          | f         | /nfs/phn11/edrive5.1/LC/184
 185       | ISM             |          0 |          | f         | /nfs/phn11/ar0/4KRED/ISM/4KISM_LC/185/
 185       | AP              |          0 |          | f         | /nfs/phn10/edrive1/4KAP_LC/185
 186       | AP              |          0 |          | f         | /nfs/phn9/ar0/4KAP_LC/186
 187       | AP              |          0 |          | f         | /nfs/phn11/edrive5.1/LC/187
 188       | AP              |          0 |          | f         | /nfs/phn11/edrive5.1/LC/188
 189       | AP              |          0 |          | f         | /nfs/phn11/edrive3/LC/189
 190       | AP              |          0 |          | f         | /nfs/phn11/edrive5.1/LC/190
 191       | AP              |          0 |          | f         | /nfs/phn11/edrive5.1/LC/191
 192       | AP              |          0 |          | f         | /nfs/phn11/edrive5.1/LC/192
 193       | AP              |          0 |          | f         | /nfs/phn11/edrive5.1/LC/193
 194       | AP              |          0 |          | f         | /nfs/phn11/edrive5.1/LC/194
 195       | AP              |          0 |          | f         | /nfs/phn11/edrive3/LC/195
 196       | AP              |          0 |          | f         | /nfs/phn11/edrive5.1/LC/196
 198       | AP              |          0 |          | f         | /nfs/phn11/edrive5.1/LC/198
 199       | AP              |          0 |          | f         | /nfs/phn11/edrive3/LC/199
 203       | AP              |          0 |          | f         | /nfs/phn11/edrive5.1/LC/203
 204       | AP              |          0 |          | f         | /nfs/phn11/edrive5.1/LC/204
 205       | AP              |          0 |          | f         | /nfs/phn11/edrive3/LC/205
 206       | AP              |          0 |          | f         | /nfs/phn11/edrive3/LC/206
 207       | AP              |          0 |          | f         | /nfs/phn11/edrive3/LC/207
 210       | ISM             |          0 |          | f         | /nfs/phn11/ar0/4KRED/ISM/4KISM_LC/210/
 210       | AP              |          0 |          | f         | /nfs/phn11/ar0/4KRED/AP/4KAP_LC/210
 211       | AP              |          0 |          | f         | /nfs/phn11/edrive3/LC/211
 154       | AP              |          0 |          | f         | /nfs/phn15/ar1/H/4KRED/4KAP_LC/154
 212       | AP              |          0 |          | f         | /nfs/phn9/ar0/4KAP_LC/212
 212       | AP              |          0 |          | f         | /nfs/phn11/edrive3/LC/212
 212       | ISM             |          0 |          | f         | /nfs/phn9/ar1/4KRED/ISM/4KISM_LC/212
 213       | AP              |          0 |          | f         | /nfs/phn11/edrive5.1/LC/213
 214       | AP              |          0 |          | f         | /nfs/phn15/ar0/H/4KRED/AP/4KAP_LC/214
 215       | AP              |          0 |          | f         | /nfs/phn10/edrive1/4KAP_LC/215
 216       | AP              |          0 |          | f         | /nfs/phn10/edrive1/4KAP_LC/216
 219       | AP              |          0 |          | f         | /nfs/phn15/ar1/H/4KRED/4KAP_LC/219
 220       | AP              |          0 |          | f         | /nfs/phn11/edrive5.1/LC/220
 221       | AP              |          0 |          | f         | /nfs/phn11/edrive3/LC/221
 222       | AP              |          0 |          | f         | /nfs/phn11/edrive5.1/LC/222
