     hat_id      | ndet  |                           full_lc_fpath
 HAT-057-0001015 | 15220 | 057/HAT-057-0001015-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-057-0001765 | 15264 | 057/HAT-057-0001765-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-057-0002805 | 22731 | 057/HAT-057-0002805-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-057-0006747 | 22639 | 057/HAT-057-0006747-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-057-0015442 | 22716 | 057/HAT-057-0015442-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-057-0035103 | 15272 | 057/HAT-057-0035103-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-057-0036406 | 15264 | 057/HAT-057-0036406-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-057-0061939 | 15257 | 057/HAT-057-0061939-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-057-0110982 |  8183 | 057/HAT-057-0110982-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-058-0000001 | 18696 | 058/HAT-058-0000001-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-058-0000003 | 18789 | 058/HAT-058-0000003-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-058-0000015 | 22261 | 058/HAT-058-0000015-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-058-0000035 | 22221 | 058/HAT-058-0000035-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-058-0000060 | 18701 | 058/HAT-058-0000060-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-058-0000157 | 19326 | 058/HAT-058-0000157-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-058-0000272 | 22739 | 058/HAT-058-0000272-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-058-0000645 | 22094 | 058/HAT-058-0000645-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-058-0000923 | 22740 | 058/HAT-058-0000923-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-058-0001055 | 22202 | 058/HAT-058-0001055-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-058-0001268 | 22242 | 058/HAT-058-0001268-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-058-0001728 | 22250 | 058/HAT-058-0001728-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-058-0002783 | 22216 | 058/HAT-058-0002783-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-058-0002807 | 22239 | 058/HAT-058-0002807-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-058-0003654 | 18664 | 058/HAT-058-0003654-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-058-0007970 | 22258 | 058/HAT-058-0007970-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-058-0011105 | 22254 | 058/HAT-058-0011105-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-058-0015051 | 22227 | 058/HAT-058-0015051-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-058-0020351 |  3317 | 058/HAT-058-0020351-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-058-0038431 | 22043 | 058/HAT-058-0038431-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-058-0049658 | 22240 | 058/HAT-058-0049658-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-058-0049763 | 22604 | 058/HAT-058-0049763-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-058-0050036 | 22182 | 058/HAT-058-0050036-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-058-0073675 | 22662 | 058/HAT-058-0073675-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-058-0106845 |  3851 | 058/HAT-058-0106845-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-058-0773340 | 18812 | 058/HAT-058-0773340-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
